Name	Species	Reference	Accession	Source|Version|Database|Link
AqbHLH001	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G024700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH002	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G030200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH003	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G079000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH004	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G099600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH005	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G176800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH006	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G198800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH007	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G220000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH008	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G287600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH009	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G367400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH010	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G368600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH011	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G372700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH012	Aquilegia coeruela	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G372800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
