AtbHLH061	AT5G10570.1		Encodes a myo-inositol hexakisphosphate kinase	IIIb	Encodes a myo-inositol hexakisphosphate kinase.
AtbHLH112	AT1G61660.1	PFA4	Mediates physiological responses, including proline biosynthesis and ROS scavenging pathways; governs the competence of pericycle cells to initiate lateral root primordium formation	X	Encodes a transcriptional activator that regulates the expression of genes by binding to their GCG- or E-boxes to mediate physiological responses, including proline biosynthesis and ROS scavenging pathways, to enhance stress tolerance. Governs the competence of pericycle cells to initiate lateral root primordium formation.
AtbHLH012	AT4G00480.2	ATMYC1	Important regulator of trichome and root hair initiation	IIIf	MYC-related protein with a basic helix-loop-helix motif at the C-terminus and a region similar to the maize B/R family at the N-terminus
AtbHLH007	AT1G03040.1	PFB2	Governs the competence of pericycle cells to initiate lateral root primordium formation	XI	Governs the competence of pericycle cells to initiate lateral root primordium formation.
AtbHLH101	AT5G04150.1		Key regulator of iron-deficiency responses independent of the master regulator FIT	Ib(2)	Encodes a member of the basic helix-loop-helix transcription factor family protein. Functions as a key regulator of iron-deficiency responses independent of the master regulator FIT. Likely regulates genes involved in the distribution of iron within the plant.
AtbHLH106	AT2G41130.1	STC8	Knockout lines are more sensitive to NaCl, KCl, LiCl, ABA, and low temperatures than the wild-type	Vb	Encodes STC8 (salt tolerant callus 8)/bHLH106 (basic helix-loop-helix transcription factor bHLH106). Knockout lines are more sensitive to NaCl, KCl, LiCl, ABA, and low temperatures than the wild-type.
AtbHLH129	AT2G43140.2		Overexpression regulates root elongation and ABA response; has been shown to function as a transcriptional repressor	IX	bHLH129 is a nuclear localized basic helix loop helix protein. It has been shown to function as a transcriptional repressor. Overexpression of bHLH129 regulates root elongation and ABA response.
AtbHLH014	AT4G00870.1		Functions redundantly with bHLH3, bHLH13 and bHLH17 to negatively regulate jasmonate responses	III(d+e)	bHLH14 interacts with JAZ proteins, and functions redundantly with bHLH3, bHLH13 and bHLH17 to negatively regulate jasmonate responses.
AtbHLH048	AT2G42300.1		Together with bHLH60 associates with phytochrome interacting factor 7 to regulate hypocotyl elongation	XII	Together with bHLH60 associates with phytochrome interacting factor 7 to regulate hypocotyl elongation.
AtbHLH060	AT3G57800.1		Together with bHLH48 associates with phytochrome interacting factor 7 to regulate hypocotyl elongation	XII	Together with bHLH48 associates with phytochrome interacting factor 7 to regulate hypocotyl elongation.
AtbHLH006	AT1G32640.1	MYC2/ZBF1/JAI1/RD22BP1/JIN1	Regulator of blue light-mediated photomorphogenic growth, blue and far-red-light-regulated gene expression, lateral root formation, diverse JA-dependent functions, Trp metabolism and biosynthesis of Trp-derived secondary metabolites, flavonoid biosynthesis, resistance to insects, and response to oxidative stress; represses hook curvature and resistance to Botrytis cinera through interaction EIN3 and EIN1; regulates other transcription factors, and its own expression	III(d+e)	Encodes a MYC-related transcriptional activator with a typical DNA binding domain of a basic helix-loop-helix leucine zipper motif. Binds to an extended G-Box promoter motif and interacts with Jasmonate ZIM-domain proteins. MYC2 interacts with EIN3 and EIL1 to repress hook curvature and resistance to Botrytis cinera.Its transcription is induced by dehydration stress, ABA treatment and blue light via CRY1. Negative regulator of blue light-mediated photomorphogenic growth and blue and far-red-light-regulated gene expression. Positive regulator of lateral root formation. Regulates diverse JA-dependent functions. Negatively regulates Trp metabolism and biosynthesis of Trp-derived secondary metabolites. Positively regulates flavonoid biosynthesis, resistance to insects, and response to oxidative stress. Regulates other transcription factors, and negatively regulates its own expression. For example it binds to and regulates the expression of NST1. Its stability is modulated by PUB10 through polyubiquitination.
AtbHLH005	AT5G46760.1	MYC3	Acts together with MYC2 and MYC4 to activate JA-responses; mRNA is cell-to-cell mobile	III(d+e)	MYC3 is a JAZ-interacting transcription factor that act together with MYC2 and MYC4 to activate JA-responses. The mRNA is cell-to-cell mobile.
