ShortName	Species	ReferenceName	Reference	Accession	Source
2003Tol.AtbHLH134	arabidopsis_thaliana	2003Tol	https://doi.org/10.1105/tpc.013839	AT4G38070.1	Athaliana_167_TAIR10.protein.fa|TAIR10|Phytozome|https://phytozome-next.jgi.doe.gov/
2010Pau.AtbHLH134	arabidopsis_thaliana	2010Pau	https://doi.org/10.1104/pp.110.153593	AT5G15160.1	Athaliana_167_TAIR10.protein.fa|TAIR10|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH001	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G024700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH002	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G030200.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH003	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G079000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH004	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G099600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH005	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G176800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH006	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G198800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH007	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G220000.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH008	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G287600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH009	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G367400.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH010	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G368600.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH011	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G372700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH012	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G372800.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
AqbHLH013	aquilegia_coeruela	2022Li	https://doi.org/10.1101/2022.04.20.488976	Aqcoe1G396700.1.p	Acoerulea_322_v3.1.protein.fa|v3.1|Phytozome|https://phytozome-next.jgi.doe.gov/
